gene,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val
SF3A3,6.383287826086957,6.150654918032787,0.23263290805417025,0.0010356375098899422,0.6737942504157758,0.003191965656445071
SF3B1,8.696968260869564,8.514190983606557,0.18277727726300697,0.00027602935444281777,0.668567355666429,0.0010731613560582475
SF3B2,6.744526231884057,6.605995409836066,0.13853082204799172,0.0005913096328246745,0.6830601092896174,0.0020064404725007572
SF3B3,7.079624492753623,6.7740586885245895,0.30556580422903323,2.445357920009338e-05,0.7061059634117367,0.00014762141343310176
SF3B4,5.146812463768117,5.120190163934426,0.02662229983369091,0.5194452992817817,0.5424091233071988,0.5897976001324561
SF3B5,5.256920579710145,5.36612163934426,-0.10920105963411508,0.03248055428816803,0.40282727488714665,0.056251820556383135
SF3B6,5.943813333333332,5.701721639344263,0.24209169398906916,0.00035855908340302753,0.6813970064148254,0.0013328855873091915
SFI1,4.9262485507246385,4.719979508196722,0.2062690425279161,6.7772904962683745e-06,0.7156094084105488,5.1913935594336483e-05
SFMBT1,5.066854057971015,5.061085081967213,0.0057689760038019955,0.9110670785928444,0.51176051318603,0.9303218527281978
SFMBT2,5.4383907246376815,5.252728360655738,0.1856623639819439,0.06562648323692433,0.5675932525540508,0.10182489483309008
SFN,5.216350579710144,4.3548755737704905,0.8614750059396536,7.602535935806511e-14,0.8593490140175815,1.735679261092628e-11
SFPQ,8.296825507246375,8.373194918032786,-0.0763694107864108,0.15268895437281782,0.4172012354478498,0.20968262764791123
SFR1,2.828345507246377,2.536499344262295,0.29184616298408184,5.695587104322508e-06,0.7175100974103112,4.4730596328136285e-05
SFRP1,5.229293623188406,5.754529836065573,-0.525236212877167,0.004495602380325541,0.35614160133048234,0.010715161271051106
SFRP2,8.414402318840581,7.562949180327868,0.8514531385127135,5.774334738141314e-06,0.7144214777856974,4.527933535463358e-05
SFRP4,7.1914953623188405,6.296986885245901,0.8945084770729395,0.00025911732097549874,0.6616773580422903,0.001018295436438684
SFRP5,5.47940115942029,6.044886229508196,-0.5654850700879068,1.452321068538872e-06,0.2613447374673319,1.4593880464349573e-05
SFSWAP,6.483213913043478,6.461059836065574,0.022154076977904502,0.5672394022265022,0.505464480874317,0.6344137412768646
