gene,importance_rf
MSN,8.697478991596638e-05
NOX4,7.962334695007962e-05
CD9,7.840196345786745e-05
MUC1,7.752983213105911e-05
FAM72A,7.737334320123797e-05
PDGFRB,7.734732311003496e-05
FUT3,7.732651963421195e-05
LDHA,7.731092436974789e-05
WNT5A,7.73005310210392e-05
ACTN4,7.730053102103919e-05
ANXA1,7.730053102103919e-05
SERPINH1,7.730053102103919e-05
IL18,7.729533539454228e-05
CD55,6.63396940160863e-05
KRT19,6.465064210675484e-05
ANXA2,5.8645542938736665e-05
VSIG2,5.844287843881284e-05
SPOCK1,5.844287843881284e-05
GBP2,5.838353753469167e-05
STIL,5.822981366459628e-05
SLFN5,5.814737409829434e-05
TNFSF4,5.814737409829434e-05
NDNF,5.805344282156559e-05
CTSC,5.799488972565896e-05
GPD2,5.7975398265779405e-05
LINC01559,5.797150154590671e-05
LGR5,5.781782091540355e-05
HILPDA,5.77030951674355e-05
ZEB1,5.7506461942054386e-05
SMC6,5.741596058762391e-05
KIF23,5.740115694716587e-05
RIOK3,5.7347515277297025e-05
CKS2,5.7332090985936815e-05
SEC14L2,5.729333475677023e-05
ZNF860,5.594543778725148e-05
TIMP1,3.8030965302303484e-05
RNF213,3.7969638439424166e-05
B3GNT3,2.8519619480602583e-05
CCNA2,2.8472171547113613e-05
CTTNBP2NL,2.837807959154785e-05
CTSV,2.8359440458810854e-05
RNF149,2.8343025058220533e-05
PGM2L1,2.833639424548494e-05
SLC5A3,2.831515204252763e-05
RND3,2.266241396676179e-05
PRC1,2.251511130768086e-05
ARPC2,1.8653271247261576e-05
PON2,1.8650316075348596e-05
PTPN22,1.593727139254582e-05
KRT6A,1.587872913412173e-05
OSBPL3,1.3838566827697574e-05
TCN1,9.88549256687345e-06
PLEKHA2,0.0
SERPINB3,0.0
KDELR3,0.0
PRDM1,0.0
VSNL1,0.0
SEMA3A,0.0
KLK7,0.0
ALOX5AP,0.0
FAM83A,0.0
PLEKHG1,0.0
ITGAV,0.0
SCIN,0.0
CTSK,0.0
IFITM10,0.0
MMP1,0.0
B3GNT5,0.0
P3H2,0.0
KDELC1,0.0
CDC6,0.0
LAMB1,0.0
C15orf48,0.0
FER1L6,0.0
CLIP4,0.0
ELK3,0.0
WFDC2,0.0
CDH2,0.0
ADTRP,0.0
ALOX5,0.0
E2F7,0.0
AFAP1-AS1,0.0
CALD1,0.0
CLDN18,0.0
MMP13,0.0
HLA-F,0.0
SERPINB2,0.0
SPRY4,0.0
KIAA1551,0.0
SLC7A7,0.0
ERN2,0.0
SEMA3C,0.0
PDGFC,0.0
OXR1,0.0
CHST11,0.0
TYMS,0.0
IFI44,0.0
MUC16,0.0
MVP,0.0
HLA-J,0.0
CYP2C19,0.0
SLFN13,0.0
GREB1L,0.0
LGALS1,0.0
IL1A,0.0
IL2RA,0.0
PARP14,0.0
NALCN,0.0
CNN2,0.0
IDO1,0.0
IFI44L,0.0
DYNLT1,0.0
MIR31HG,0.0
GPSM2,0.0
PTK7,0.0
SPRR1B,0.0
OLFML2B,0.0
FAR2,0.0
TINAGL1,0.0
SLCO1B3,0.0
ANKRD22,0.0
CKMT1A,0.0
MXD1,0.0
GBP3,0.0
RAB25,0.0
WNT2,0.0
RHPN2,0.0
MAML2,0.0
TSPAN8,0.0
CSGALNACT2,0.0
USP41,0.0
MYO1D,0.0
KIF13B,0.0
TMEM173,0.0
CORO1C,0.0
L3MBTL3,0.0
CEP170,0.0
SLC26A9,0.0
NCEH1,0.0
ADAM22,0.0
UBA6,0.0
COMP,0.0
COL1A1,0.0
NMI,0.0
GLI3,0.0
MMP3,0.0
IL1R2,0.0
ATP2B4,0.0
KRT6B,0.0
OLR1,0.0
SDC4,0.0
TMEM45A,0.0
TMPRSS3,0.0
PRRX1,0.0
FAM177B,0.0
RASGRF2,0.0
CXCL10,0.0
CLEC2B,0.0
ITGA6,0.0
DSC2,0.0
MOXD1,0.0
IFIH1,0.0
NDRG1,0.0
POF1B,0.0
COL6A3,0.0
CDCA7,0.0
BTN3A2,0.0
S100A4,0.0
PPFIA2,0.0
FBN1,0.0
SRGAP2C,0.0
ADAM12,0.0
HMGCS1,0.0
MRC1,0.0
LAD1,0.0
CRABP2,0.0
TGFBR1,0.0
THY1,0.0
LIF,0.0
TRIO,0.0
GLT8D2,0.0
FAS,0.0
INSIG2,0.0
SLC20A1,0.0
SFRP2,0.0
ASAP1,0.0
PYGL,0.0
KITLG,0.0
HIST2H2AA4,0.0
DENND3,0.0
TFF2,0.0
ISM1,0.0
TFRC,0.0
ARHGAP11A,0.0
ITGB8,0.0
ENC1,0.0
EFNA1,0.0
IRAK3,0.0
MFAP5,0.0
LGALS4,0.0
BTN3A3,0.0
DUOX2,0.0
AIM1,0.0
MACC1,0.0
ANXA10,0.0
HKDC1,0.0
CP,0.0
LOX,0.0
DST,0.0
MARCO,0.0
TM4SF1,0.0
AGR3,0.0
ROBO1,0.0
TRIM22,0.0
MMP2,0.0
EHF,0.0
PDLIM3,0.0
SLC39A10,0.0
POC1B-GALNT4,0.0
ITGA5,0.0
FUT2,0.0
SAMD12,0.0
BIRC3,0.0
KNTC1,0.0
NCF2,0.0
HMCN1,0.0
FCGR3B,0.0
DUSP10,0.0
PDCD1LG2,0.0
STK38L,0.0
SP140L,0.0
LY75-CD302,0.0
LUM,0.0
S100A2,0.0
PLOD2,0.0
