gene,importance_l1,rank_l1,importance_rf,rank_rf,importance_xgb,rank_xgb,log2fc,auc,log2fc_val,auc_val,stability_score,rank_score_l1,rank_score_rf,rank_score_xgb,model_consensus_score,consensus_score
CRIP1,0.018501236391209104,23,0.009090904764425475,63,0.0,535,6.437314912870886,0.9952903182399246,0.6556680731765265,0.8054169636493229,0.9003536240250658,0.9740990990990991,0.9290540540540541,0.3975225225225225,0.7668918918918918,0.8336227579584787
GBP2,0.0,123,5.838353753469167e-05,260,0.0,140,4.229860798627462,0.9838188790957411,0.6938346139225491,0.7431693989071039,0.8634882824977098,0.8614864864864865,0.7072072072072072,0.8423423423423423,0.8036786786786787,0.8335834805881943
LGALS3BP,0.002345249774405108,29,0.018750515436798433,19,0.0,622,4.172795868936285,0.997746080871964,0.6449422713233552,0.8391541933951057,0.9184501370248845,0.9673423423423423,0.9786036036036037,0.29954954954954954,0.7484984984984986,0.8334743177616916
L3MBTL3,0.0,69,0.0,377,0.0,91,2.178437441969993,0.9643409809594296,0.5959538370159185,0.7726300784034212,0.868485438776992,0.9222972972972973,0.5754504504504504,0.8975225225225225,0.7984234234234234,0.8334544311002077
CTSK,0.0,97,0.0,306,0.0,116,4.815361939043262,0.9798324698916773,1.1889551104775489,0.7422190544072226,0.8610238559232837,0.8907657657657657,0.6554054054054054,0.8693693693693694,0.8051801801801801,0.8331020180517319
IFITM10,0.0,98,0.0,307,0.0,117,3.5542586893628476,0.9674190943954788,0.554709320503683,0.754335946780708,0.8608761106647073,0.8896396396396397,0.6542792792792793,0.8682432432432432,0.8040540540540541,0.8324650823593807
ST6GALNAC1,0.0,141,9.685352378385662e-05,218,0.0,209,5.674679745004373,0.96375227073942,0.7646643252554055,0.7906866239011641,0.8772193810811327,0.8412162162162162,0.7545045045045045,0.7646396396396397,0.7867867867867867,0.8320030839339597
MMP1,0.0,99,0.0,308,0.0,118,8.654652065531858,0.9769898405436319,1.1915540959847952,0.744832501781896,0.8608454665633393,0.8885135135135135,0.6531531531531531,0.8671171171171171,0.8029279279279279,0.8318866972456336
PLEKHA2,0.0,84,0.0,294,0.0,152,2.7438366413240933,0.9679741640314875,0.5803316155856493,0.7562366357804704,0.8621042475562574,0.9054054054054054,0.668918918918919,0.8288288288288288,0.801051051051051,0.8315776493036542
COMP,0.0,71,0.0,383,0.0,93,6.142810620332369,0.953256408531252,1.2045463625564263,0.7830838679021145,0.8681698852494641,0.920045045045045,0.5686936936936937,0.8952702702702703,0.7946696696696697,0.8314197774595669
CCNB1,0.0,641,0.020603207879893875,11,0.00539526,15,3.72830410078719,0.9945165848079124,0.9178550748396308,0.831551437396056,0.9130340055498205,0.27815315315315314,0.9876126126126126,0.9831081081081081,0.7496246246246246,0.8313293150872225
POSTN,0.0088726305373996,24,0.009385022575890743,50,0.0,612,7.306667409002221,0.9873006795397967,2.499748146828227,0.8515086718935614,0.9194046756999976,0.972972972972973,0.9436936936936937,0.3108108108108108,0.7424924924924925,0.8309485840962451
SLC7A7,0.0,63,0.0,331,0.0,158,3.5480342595707457,0.9778308551436453,0.5662197529104303,0.7598004276550249,0.8688045671966653,0.9290540540540541,0.6272522522522522,0.8220720720720721,0.7927927927927928,0.8307986799947291
PLEKHG1,0.0,83,0.0,303,0.0,151,3.5384463365404026,0.9804211801116868,0.6696513067236882,0.7438821572820147,0.862146098611609,0.9065315315315315,0.6587837837837838,0.829954954954955,0.7984234234234234,0.8302847610175161
