gene,importance_l1,rank_l1,importance_rf,rank_rf,importance_xgb,rank_xgb,log2fc,auc,log2fc_val,auc_val,stability_score,rank_score_l1,rank_score_rf,rank_score_xgb,model_consensus_score,consensus_score
COL1A1,0.0,73,0.0,384,0.0,95,6.3833700968848825,0.984743995155756,1.5252154169636487,0.7507721549061535,0.8677574977786815,0.9177927927927928,0.5675675675675675,0.8930180180180181,0.7927927927927927,0.8302751452857371
OLFML2B,0.0,110,0.0,358,0.0,76,5.94534242750454,0.9931205005718899,0.9262553052981701,0.7355666429080542,0.864339571817222,0.8761261261261262,0.5968468468468469,0.9144144144144144,0.7957957957957958,0.8300676838065089
FAR2,0.0,111,0.0,359,0.0,77,3.7033145596447556,0.9929186570678867,0.51200469470183,0.7355666429080542,0.8642241493716734,0.875,0.5957207207207207,0.9132882882882883,0.7946696696696697,0.8294469095206716
CLIP4,0.0,89,0.0,316,0.0,136,1.754226888918791,0.922996703222768,0.7415540936089329,0.8004276550249466,0.861712156999724,0.8997747747747747,0.6441441441441441,0.8468468468468469,0.7969219219219218,0.8293170394608229
SDC1,0.0,582,0.009327878433664524,51,0.0,68,4.570934521967301,0.9802361568996837,0.7746903254929913,0.862200047517225,0.9212181022040099,0.34459459459459457,0.9425675675675675,0.9234234234234234,0.7368618618618618,0.8290399820329358
ELK3,0.0,92,0.0,317,0.0,134,3.4241087667361914,0.9829442239117271,0.5041565288667149,0.7403183654074601,0.8616210528501194,0.8963963963963963,0.6430180180180181,0.8490990990990991,0.7961711711711712,0.8288961120106453
RIOK3,0.0,148,5.7347515277297025e-05,273,0.0,163,1.6367878288367086,0.9479580165511673,0.5123493418864342,0.8054169636493229,0.8766867500569822,0.8333333333333334,0.6925675675675675,0.8164414414414415,0.7807807807807808,0.8287337654188816
PLAC8,0.0,635,0.00965759089555695,34,0.0039186347,17,6.732672865504945,0.9931205005718899,1.7647905725825588,0.83464005702067,0.9138802787252763,0.2849099099099099,0.9617117117117117,0.9808558558558559,0.7424924924924925,0.8281863856088845
RAB23,0.0,186,0.00022696905141868798,140,0.0,253,3.331139934737267,0.9772757855076364,0.7285479282489895,0.7681159420289855,0.8726943371018276,0.7905405405405406,0.8423423423423423,0.7150900900900901,0.7826576576576576,0.8276759973797426
KDELC1,0.0,86,0.0,311,0.0,154,2.9788084572428177,0.982742380407724,0.6178901425516736,0.7412687099073414,0.8619942098681977,0.9031531531531531,0.6497747747747747,0.8265765765765766,0.793168168168168,0.8275811890181829
