gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
HNRNPA1P66,-9.04912191011236,-9.426339520958082,0.37721761084572236,0.24955101596207652,0.5358608625445739,0.0,0.4427971548106741
HNRNPA1P67,-8.765323595505617,-9.737459880239518,0.9721362847339012,0.0029844584276316507,0.5924779654174797,0.0,0.006538974423050071
HNRNPA1P68,-7.604192696629215,-6.965147904191617,-0.6390447924375984,0.029517625702341267,0.43221422323891545,0.0,0.05969661089790975
HNRNPA1P69,-9.866194943820224,-9.965799999999998,0.09960505617977411,0.7867158172811782,0.5084269662921348,0.0,1.0
HNRNPA1P7,-2.9193146067415734,0.6800868263473054,-3.599401433088879,7.765345206869068e-39,0.09404225257350467,0.0,4.4924124784080275e-38
HNRNPA1P70,-6.922624719101123,-9.394583832335327,2.4719591132342034,7.484716939412863e-11,0.7027686200632443,0.0,2.199128312908742e-10
HNRNPA1P71,-8.444101123595507,-9.633598802395207,1.1894976787997003,0.0002685500400683451,0.6134865101258158,0.0,0.0006250766805961429
HNRNPA1P72,-9.910134831460674,-9.965799999999998,0.05566516853932413,0.8568502031545118,0.5056179775280899,0.0,1.0
HNRNPA1P73,-9.185163483146068,-9.472980239520956,0.28781675637488746,0.38397181262889346,0.5271143107044337,0.0,0.6510029160573398
HNRNPA1P74,-9.9658,-9.965799999999998,-1.7763568394002505e-15,1.0,0.5,0.0,1.0
HNRNPA1P76,-9.246564606741574,-9.43817964071856,0.1916150339769871,0.5988650193603259,0.5163829644082621,0.0,0.9428647521809087
HNRNPA1P8,-5.462625280898877,-8.489340718562875,3.0267154376639986,3.1176316159980506e-18,0.7711767476283388,0.0,1.0841385355382988e-17
HNRNPA1P9,-6.897513483146067,-7.914878443113772,1.017364959967705,0.004276678511786766,0.5889793446814237,0.0,0.009259761380062853
HNRNPA2B1,8.673002808988764,7.333089221556886,1.3399135874318784,3.0620791026681823e-47,0.9496064051671937,0.9461077844311377,2.802369253451098e-46
HNRNPA3,7.508357303370787,5.486338922155688,2.0220183812150996,2.430316645863856e-54,0.9834488326717351,0.9880239520958084,9.542250632128053e-53
HNRNPA3P1,-7.013181460674158,-8.749826347305389,1.7366448866312307,8.211980916884782e-08,0.6670086792706722,0.0,2.2066237974956536e-07
HNRNPA3P10,-3.890314606741573,-7.0793574850299406,3.1890428782883675,6.468882881162268e-29,0.8475408733095606,0.47904191616766467,2.81959544688517e-28
HNRNPA3P11,-7.095990449438202,-7.954338323353292,0.8583478739150898,0.006097297915911616,0.5854134427773666,0.0,0.013065064896741592
HNRNPA3P12,-2.8903926966292137,-6.808082035928142,3.9176893392989283,8.718941201830046e-41,0.9164872502186637,0.7425149700598802,5.440028698949898e-40
HNRNPA3P13,-9.833902247191011,-9.886896407185626,0.052994159994614876,0.9371511393823293,0.5024557626320393,0.0,1.0
HNRNPA3P14,-9.634471348314607,-9.418268862275447,-0.21620248603916004,0.5313495020635023,0.48050528157168815,0.0,0.8584386425918926
HNRNPA3P15,-8.825558988764046,-8.919686227544908,0.09412723878086204,0.7863004189019076,0.5084437865841351,0.0,1.0
HNRNPA3P16,-9.832072471910113,-9.451599999999997,-0.3804724719101156,0.26729443205218806,0.4654511202314472,0.0,0.4715667858469878
HNRNPA3P2,-8.428498314606742,-9.311423353293412,0.88292503868667,0.02053736073798121,0.5721422323891543,0.0,0.04214302681069347
HNRNPA3P3,-7.542383707865168,-9.477553892215568,1.9351701843503992,4.944899885221338e-09,0.6821637623629146,0.0,1.3823114152326361e-08
HNRNPA3P4,-9.29127808988764,-9.805923353293412,0.5146452634057717,0.1313063274844966,0.546995895848752,0.0,0.24516513052969865
HNRNPA3P5,-2.7430101123595505,-5.400589820359282,2.6575797079997314,8.526656009486632e-26,0.8270537576532329,0.30538922155688625,3.4608192038504563e-25
HNRNPA3P6,2.351041011235955,-0.3766017964071856,2.7276428076431407,1.0025317739725136e-54,0.9852149633317634,1.0,5.006761624133318e-53
HNRNPA3P7,-8.227195505617976,-9.431971856287424,1.204776350669448,0.0003082773364599401,0.612376370853798,0.0,0.0007150740307725105
