gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
RABIF,2.7749713483146063,0.10588682634730538,2.669084521967301,1.4519458187047273e-56,0.9935746484558973,1.0,5.240668882738977e-54
FOXP3,0.7001359550561799,-4.3744317365269465,5.074567691583127,1.4519458187047273e-56,0.9935746484558972,1.0,5.240668882738977e-54
CTSD,9.664415168539326,6.83512754491018,2.8292876236291464,1.4519458187047273e-56,0.9935746484558972,1.0,5.240668882738977e-54
CTB-193M12.5,2.6203376404494385,-1.294999401197605,3.915337041647043,1.464475804537365e-56,0.9935578281638969,0.9940119760479041,5.240668882738977e-54
TIMM23,5.480423033707865,3.257736526946108,2.222686506761757,1.464475804537365e-56,0.9935578281638968,1.0,5.240668882738977e-54
NCAPH,1.8822511235955057,-3.5600556886227555,5.442306812218261,1.464475804537365e-56,0.9935578281638968,0.9940119760479041,5.240668882738977e-54
PSENEN,6.900941573033708,4.451530538922156,2.4494110341115523,1.477113492331336e-56,0.9935410078718967,1.0,5.240668882738977e-54
HSPB1P1,2.5306106741573036,-7.820655688622752,10.351266362780056,1.477113492331336e-56,0.9935410078718967,0.9880239520958084,5.240668882738977e-54
CLIC1,9.110446629213483,5.613838323353293,3.49660830586019,1.50271566981826e-56,0.9935073672878961,1.0,5.240668882738977e-54
GSS,5.063376404494382,2.343411976047904,2.719964428446478,1.50271566981826e-56,0.993507367287896,1.0,5.240668882738977e-54
CYSTM1,7.9069814606741575,4.72284371257485,3.1841377480993076,1.5287598222115553e-56,0.9934737267038957,0.9940119760479041,5.240668882738977e-54
GSTO1,7.172673595505618,4.732369461077845,2.440304134427773,1.5287598222115553e-56,0.9934737267038956,1.0,5.240668882738977e-54
MRPL47,5.037721348314607,2.514053293413174,2.523668054901433,1.5419500086224983e-56,0.9934569064118953,1.0,5.240668882738977e-54
MCM6,3.538709550561798,0.5826053892215568,2.956104161340241,1.5419500086224983e-56,0.9934569064118952,1.0,5.240668882738977e-54
SLC15A3,5.9257123595505625,1.6219736526946107,4.303738706855952,1.5552535484910996e-56,0.9934400861198951,0.9940119760479041,5.240668882738977e-54
DPCD,4.759884269662922,2.2976203592814377,2.462263910381484,1.5552535484910996e-56,0.9934400861198949,1.0,5.240668882738977e-54
PBXIP1,6.178628651685393,3.5721952095808382,2.606433442104555,1.5822045777521493e-56,0.9934064455358944,0.9940119760479041,5.240668882738977e-54
LMNA,8.19856573033708,4.909504191616766,3.289061538720314,1.5822045777521493e-56,0.9934064455358944,1.0,5.240668882738977e-54
S100A10,10.046499438202247,5.486264670658682,4.560234767543565,1.609620771424091e-56,0.9933728049518938,0.9940119760479041,5.240668882738977e-54
MRPL13,5.014693820224719,2.7226113772455087,2.29208244297921,1.6235057983503675e-56,0.9933559846598937,1.0,5.240668882738977e-54
FAM64A,1.2338292134831461,-5.5876125748503,6.821441788333446,1.6235057983503675e-56,0.9933559846598937,0.9940119760479041,5.240668882738977e-54
KIF2C,2.1328988764044943,-2.6475586826347306,4.780457559039225,1.6375101255266206e-56,0.9933391643678934,1.0,5.240668882738977e-54
VPS18,3.627331460674157,0.9744928143712575,2.6528386463028992,1.6375101255266206e-56,0.9933391643678934,0.9940119760479041,5.240668882738977e-54
HMGN2P17,-1.836958988764045,-9.766108982035925,7.9291499932718805,1.6516347738615243e-56,0.9933223440758931,1.0,5.240668882738977e-54
CDH3,5.170007303370786,-1.2802449101796407,6.450252213550427,1.6516347738615243e-56,0.9933223440758931,1.0,5.240668882738977e-54
FTH1P8,3.2205662921348317,-0.21964131736526943,3.440207609500101,1.6516347738615243e-56,0.9933223440758931,1.0,5.240668882738977e-54
LGMN,6.789223595505618,3.6937203592814374,3.0955032362241806,1.6658807729646616e-56,0.9933055237838928,1.0,5.240668882738977e-54
POLR3K,3.532398314606742,1.223868263473054,2.308530051133688,1.6802491612203051e-56,0.9932887034918926,1.0,5.240668882738977e-54
HTR1D,0.6587601123595506,-7.146605988023952,7.805366100383502,1.6802491612203051e-56,0.9932887034918926,0.9940119760479041,5.240668882738977e-54
GPX1,8.419834269662921,5.250259880239521,3.1695743894234,1.6947409858618852e-56,0.9932718831998923,1.0,5.240668882738977e-54
EXO1,0.7453112359550562,-4.870903592814372,5.6162148287694285,1.7093573030471938e-56,0.993255062907892,0.9880239520958084,5.240668882738977e-54
TMCO1,6.671320224719101,4.148524550898204,2.522795673820897,1.7240991779339268e-56,0.9932382426158918,1.0,5.240668882738977e-54
COX4I1,9.250701123595507,7.384900598802396,1.8658005247931104,1.7240991779339268e-56,0.9932382426158918,1.0,5.240668882738977e-54
CAPNS1,9.460130898876404,6.760277844311376,2.699853054565028,1.7240991779339268e-56,0.9932382426158918,0.9940119760479041,5.240668882738977e-54
PMVK,5.631216292134832,3.460649700598802,2.17056659153603,1.7240991779339268e-56,0.9932382426158917,0.9940119760479041,5.240668882738977e-54
MALL,5.8672151685393255,0.367140119760479,5.500075048778847,1.7539639069019463e-56,0.9932046020318912,0.9940119760479041,5.240668882738977e-54
ATP6V1F,7.54791797752809,4.895435928143713,2.6524820493843766,1.7539639069019463e-56,0.9932046020318912,1.0,5.240668882738977e-54
NDUFB6,5.470622471910112,3.279555688622754,2.1910667832873583,1.7539639069019463e-56,0.9932046020318912,0.9940119760479041,5.240668882738977e-54
GAPLINC,1.078326404494382,-7.727477844311378,8.80580424880576,1.7690889369895024e-56,0.9931877817398911,1.0,5.240668882738977e-54
