gene,mean_pdac,mean_normal,log2fc,p_value,auc,fdr,log_fdr_x,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val,log_fdr_y,stability_score
KLK6,3.9085011235955065,-6.882934730538922,10.791435854134429,2.9678420217659234e-51,0.9690338424275045,4.413789121022329e-50,49.35518842010144,4.313651884057971,3.6314306557377054,0.6822212283202655,4.052518143095804e-08,0.77952007602756,8.578044488502155e-07,6.066611705700013,0.8742762092688671
LIMS1,4.613903370786517,1.965825748502994,2.6480776222835227,3.885520019069618e-51,0.9684787727914957,5.68759740722432e-50,49.24507115243456,7.482319565217392,6.975542786885246,0.5067767783321466,3.946865958032179e-08,0.7797576621525303,8.38992133459274e-07,6.076242111175167,0.8741174840937048
GPX2,7.998679213483146,2.358897005988024,5.639782207495122,1.5511583541531223e-52,0.9750723272556011,3.0939192218128723e-51,50.50949102934993,5.596510289855072,4.526054590163935,1.070455699691137,8.203766535931472e-08,0.7731052506533618,1.5041241248234392e-06,5.822716322985365,0.8740874742164468
PAK1,5.205403932584269,3.1482125748502994,2.0571913577339696,4.224979254026263e-50,0.9635336069434167,5.2226948655858296e-49,48.282105346949415,6.650401014492755,6.1370529508196725,0.5133480636730825,2.3167042814496938e-08,0.7845093846519363,5.484146241637659e-07,6.260890972721066,0.8740210164715064
KLF7,2.8005016853932587,0.438759880239521,2.3617418051537378,1.0277836472206388e-47,0.9519444257552311,9.777296823292017e-47,46.00978120012039,6.102881304347826,5.516133606557377,0.5867476977904493,6.230774953002733e-09,0.7959135186505109,1.9751852834376175e-07,6.7043921588728255,0.8739287995857065
SESTD1,4.302785393258427,1.749202994011976,2.5535823992464506,9.276475757221629e-52,0.9714223238915428,1.5273334073462626e-50,49.81606614882084,6.724726376811594,6.183334098360655,0.5413922784509388,5.702072292747111e-08,0.7764314564029462,1.1237295770622704e-06,5.949338188161726,0.8739259080897499
BST2,7.378891011235954,3.0917425149700595,4.287148496265894,6.2435013456632834e-55,0.9861568996837785,3.664835193690389e-53,52.435945550649095,5.660182028985508,4.896493606557377,0.7636884224281308,2.8365353383981144e-07,0.761463530529817,4.123489562062317e-06,5.384735100444727,0.8738066119594965
TNFRSF21,6.037037078651685,2.008506586826347,4.028530491825338,8.324275187629876e-55,0.9855850097557693,4.437164374581854e-53,52.35289448256323,7.145271594202899,6.572208032786884,0.5730635614160144,2.7670226403317155e-07,0.7617011166547875,4.048921278314214e-06,5.392660666977227,0.8736395258932901
LRRC15,1.5114640449438204,-6.990326347305388,8.501790392249209,2.2153398314882403e-54,0.9836338558837381,8.962487753343412e-53,52.0475714247589,5.5735147826086955,4.867012786885246,0.7065019957234497,2.2671442510168642e-07,0.7636018056545498,3.443408234858795e-06,5.463011486259461,0.8736148225463114
HIST1H4H,1.565720224719101,-3.4951185628742514,5.060838787593353,2.3791248735892873e-46,0.9451826683711229,2.0233959671854537e-45,44.693919119930065,4.173366231884057,3.5722478688524593,0.6011183630315982,3.08384330454876e-09,0.8018531717747683,1.1195302653518846e-07,6.950964161220595,0.8735178222799708
TANC2,2.57832191011236,0.24343832335329343,2.3348835867590667,3.818424529141851e-49,0.9589248469353427,4.2292896075186005e-48,47.37373257481034,5.788927826086957,5.044666229508196,0.7442615965787613,1.5449721145029378e-08,0.7880731765264908,4.003118809119464e-07,6.397601520217333,0.8734986620588844
FAP,4.865111235955056,0.624591616766467,4.240519619188589,1.7843331970263495e-49,0.9605227746753684,2.044757883705019e-48,47.68935810868155,7.226697971014493,5.614009016393442,1.612688954621051,1.86761852639641e-08,0.7864100736516988,4.5725793615064125e-07,6.339838748188296,0.8734660247640792
KLF5,5.759593258426966,1.6218892215568863,4.13770403687008,3.91110628486476e-49,0.9588743860593419,4.328670267781268e-48,47.363645494883784,6.591283478260869,6.012361639344262,0.5789218389166066,1.5875047537244292e-08,0.7878355904015205,4.0659228666773055e-07,6.390840864481591,0.8733546331310296
SPOCK1,3.2854056179775277,0.628220359281437,2.6571852586960905,3.041933067830187e-39,0.9081780259705307,1.7846718181928912e-38,37.74844163425863,4.99246652173913,4.179698360655737,0.812768161083393,3.021799313920493e-11,0.8384414350201947,3.4540029529343785e-09,8.461677295476562,0.8733097274789483
RASAL2,2.493831460674157,0.6813682634730539,1.8124631972011032,3.1071920107996556e-42,0.9241404830787864,2.0590770948490343e-41,40.68632739245885,6.25097231884058,5.507459672131147,0.7435126467094326,2.4791779489537443e-10,0.8222855785222144,1.5743173496165636e-08,7.80290771842217,0.8732130170533561
ADGRF4,0.6763191011235954,-6.587753892215569,7.264072993339164,3.177446283470371e-53,0.9782850030276525,7.788200030626686e-52,51.10856290267309,3.125924927536232,2.621439016393443,0.5044859111427891,1.4047918747202453e-07,0.7681159420289856,2.3223183363660383e-06,5.634078248744231,0.8731984446788504
CAPZB,8.091535393258427,5.036380838323354,3.055154554935073,1.2542122333863382e-55,0.9893359348718294,1.373327230729067e-53,52.862225968540834,7.36573536231884,6.785619999999999,0.5801153623188409,4.7529040680058373e-07,0.7564742219054407,6.1495692155446805e-06,5.211155305991173,0.8728997103984368
BRIP1,-0.7005404494382022,-3.3591550898203595,2.658614640382157,8.021102565152772e-49,0.9573605597793178,8.54645706382711e-48,47.06821388486425,3.4903849275362315,2.8513373770491803,0.6390475504870512,1.5449721145029378e-08,0.7880731765264909,4.003118809119464e-07,6.397601520217333,0.8727165187939733
RAB23,2.618102808988764,-0.713037125748503,3.331139934737267,5.234572040935946e-53,0.9772757855076364,1.1969026726388316e-51,50.92194116325642,4.929585797101449,4.20103786885246,0.7285479282489895,1.4047918747202453e-07,0.7681159420289855,2.3223183363660383e-06,5.634078248744231,0.8726938370907044
HLA-C,9.447870786516853,6.31655868263473,3.1313121038821237,7.648134706787673e-56,0.990311511807845,1.0182622255871106e-53,52.99214036693001,9.429050434782608,8.864491377049179,0.5645590577334296,5.498785948957536e-07,0.7550487051556188,6.930826423251266e-06,5.159214977558635,0.872674060087377
ANGPT2,1.637629213483146,-2.3694880239520963,4.007117237435242,3.5113582534745473e-53,0.9780831595236492,8.489429543821397e-52,51.0711214916517,5.100274057971014,4.292904426229508,0.8073696317415067,1.5547066097481995e-07,0.7671655975291043,2.5222057027407328e-06,5.598219496699433,0.8726221775881929
NUAK1,2.425227528089888,0.09658742514970059,2.328640102940187,4.2138110254052894e-48,0.9538451187512614,4.153613725042356e-47,46.381573894147294,5.621934782608696,4.832007540983608,0.7899272416250875,1.0833185606859698e-08,0.7911617961511047,3.043486119297957e-07,6.516628674632527,0.8725031919059668
ASPN,5.106705056179775,0.291051497005988,4.8156535591737875,1.513130375650557e-52,0.975122788131602,3.026312411607555e-51,50.519086241007535,7.437312753623188,6.277998196721311,1.1593145569018768,1.205819334278468e-07,0.7695414587788074,2.0458018781655808e-06,5.689136427019579,0.8723303388365082
PARP9,4.908696067415731,2.8702826347305392,2.0384134326851915,3.7534382573708245e-47,0.9491690775751868,3.4089948303107018e-46,45.467373657371645,5.959049855072464,5.239666721311476,0.7193831337609877,6.77343592371338e-09,0.7952007602755998,2.1071390168279742e-07,6.676306811212182,0.872184735143906
ABCA12,-2.0602179775280898,-8.597035329341315,6.536817351813225,7.289568590289971e-49,0.957562403283321,7.796790534741225e-48,47.10808413319346,3.318270434782609,2.7984822950819668,0.5197881397006423,1.86761852639641e-08,0.7864100736516988,4.5725793615064125e-07,6.339838748188296,0.8719858397448821
TPM2,7.8996724719101135,4.845443113772456,3.0542293581376576,2.7574367983570354e-51,0.9691852250555071,4.134461353584681e-50,49.383581063234466,6.6247444927536225,5.815756065573773,0.80898842717985,6.84302157694079e-08,0.774768353528154,1.2962212178366157e-06,5.8873208738611575,0.8719756590170148
KRT7,8.63878370786517,4.764868263473054,3.8739154443921153,4.560016215891647e-46,0.9437697638431003,3.800402759185497e-45,44.420170375271915,7.3661666666666665,5.875850983606558,1.4903156830601088,3.867790678177649e-09,0.799952482775006,1.3502167004465536e-07,6.869596524648984,0.8718610055889082
TEP1,4.150394382022472,2.154608383233533,1.9957859987889388,8.588401608552143e-50,0.9620534212473928,1.0211429970176437e-48,47.99091343669158,5.365769275362319,4.862519672131149,0.5032496032311702,3.192573142734672e-08,0.7816583511522928,7.072097516514025e-07,6.150451759506303,0.871855269614858
ITGAV,5.113003370786517,2.6158353293413175,2.4971680414451995,1.9963615781396574e-49,0.9602872905873646,2.2783724451392805e-48,47.642375280411706,8.782211014492754,8.03969,0.7425210144927537,2.6488706835284807e-08,0.7833214540270848,6.104304180025369e-07,6.214363833438648,0.8718038401313173
SEMA3A,0.4704353932584269,-4.4036491017964075,4.874084495054834,2.9993066703114703e-54,0.9830283253717285,1.130645972030349e-52,51.946673360116655,5.328324927536232,4.3426450819672135,0.9856798455690186,3.131832926729789e-07,0.7605131860299359,4.484327418280312e-06,5.348302685381001,0.87176684639533
ALOX5AP,5.706663483146068,1.9833898203592812,3.7232736627867866,1.5742993720482405e-50,0.9655856825674494,2.0724501463810784e-49,48.683515907779864,6.328181739130434,5.606095245901639,0.7220864932287947,4.872769545253459e-08,0.7778569731527679,9.97645948963203e-07,6.00102355660087,0.8717204581908572
KDELR3,4.887684831460674,2.1893862275449103,2.6982986039157635,3.949445750576343e-51,0.9684451322074951,5.773957612041746e-50,49.23852640869983,5.024365362318841,4.489286393442623,0.5350789688762179,6.754677213816601e-08,0.7748871465906391,1.2892538960684493e-06,5.889661547500482,0.8716650156001007
B3GNT5,3.42274606741573,0.49774131736526955,2.9250047500504603,6.201721593487719e-52,0.9722465181995559,1.0701120844421327e-50,49.97057073156211,6.218017826086957,5.479099508196721,0.7389183178902359,1.034242432618411e-07,0.7709669755286291,1.8068079807568626e-06,5.743087999807006,0.8716051720380661
FAM83A,2.3409224719101127,-6.068751497005987,8.409673968916099,5.694826180068661e-50,0.9629112561394065,6.93428834867184e-49,48.158998103026704,4.396117536231885,3.61207262295082,0.7840449132810647,3.743515468853925e-08,0.7802328344024709,8.025888523417478e-07,6.095506876747816,0.8715713457569312
P3H2,3.1818421348314603,0.22767425149700599,2.9541678833344545,2.0013845080338895e-48,0.9554262261992869,2.0344109988744278e-47,46.69156130484888,4.695285362318842,3.9713488524590166,0.7239365098598252,1.67600848141849e-08,0.7873604181515799,4.254466707336809e-07,6.371154870497381,0.8713929514440455
ADTRP,1.8495258426966292,-3.9180598802395212,5.7675857229361505,7.297333436773194e-53,0.9766029738276256,1.5992708195271623e-51,50.79607798686839,3.958943043478261,3.450549180327869,0.5083938631503919,1.7639561040534532e-07,0.7659776669042528,2.7959123573202234e-06,5.553476446420194,0.8712878843145657
CLDN18,4.565092696629213,-2.7938467065868267,7.35893940321604,1.0378213063515975e-40,0.9160835632106574,6.450568694682539e-40,39.19040199543062,5.551968550724638,3.8351311475409835,1.7168374031836544,1.4784552751211475e-10,0.8263245426467094,1.0754014861181204e-08,7.968429367698538,0.871204043559742
AFAP1-AS1,1.2931567415730336,-6.054558083832335,7.347714825405369,1.2942440905052347e-49,0.9611955863553792,1.5049248325900586e-48,47.8224851915031,4.1187313043478255,3.175155245901639,0.9435760584461867,3.3668508235528844e-08,0.7811831789023521,7.384552305211441e-07,6.131675829027714,0.8711887392945094
FER1L6,-0.2534264044943819,-7.869877245508981,7.616450841014599,5.094426864307092e-44,0.9333916436789343,3.688501052255269e-43,42.43315008831009,4.443620434782609,3.373773278688525,1.069847156094084,1.4214573659134735e-09,0.8082679971489665,6.194643069796778e-08,7.207983712255384,0.8708297664691513
SPRY4,3.6296848314606747,0.6131431137724551,3.0165417176882197,3.3177580465449694e-54,0.9828264818677251,1.2216064369871204e-52,51.91306868752611,4.770858550724637,4.266847704918033,0.5040108458066044,3.81399381752799e-07,0.7586124970301734,5.243389576083325e-06,5.280387873650419,0.8707149239274546
C15orf48,6.466384831460675,1.2880035928143714,5.1783812386463035,1.0865191321697553e-52,0.9757955998116128,2.2699492611139955e-51,50.64398385023617,5.036447681159421,4.431199999999999,0.6052476811594225,1.90231045279606e-07,0.765264908529342,2.977458214967104e-06,5.5261543246013725,0.8705276622030207
WFDC2,7.658725842696629,3.089336526946108,4.569389315750522,1.6300927028037545e-52,0.9749714055035995,3.233744010258948e-51,50.49029436270181,5.198763043478261,4.528516885245901,0.6702461582323593,1.7639561040534532e-07,0.7659776669042527,2.7959123573202234e-06,5.553476446420194,0.8704721024334137
