gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category
LAMA3,EDIL3,0.5507459804792868,0.6311502155526197,0.9775280898876404,0.9580838323353293,1.0,0.0,0.12780241029244593,0.40231310213542243,0.03610149953278518,0.2192073008341038,0.7339029805557424,0.025560482058489188,0.021920730083410382,0.686421768413843,weak correlation / high independence
PTPRR,ETV1,0.5441886518479988,0.6641001764469112,0.9662921348314607,0.9880239520958084,1.0,0.0,0.2502053366279337,0.02621672664746668,0.02482275843931166,0.025519742543389172,0.7385790217318173,0.05004106732558675,0.0025519742543389174,0.6859859801518916,low-to-moderate correlation / partial independence
MMP12,PLAC8,0.39736509818459975,0.6220726772459807,0.9606741573033708,0.9880239520958084,1.0,0.0,0.24856982661815225,0.02207993458626133,0.023424625728514163,0.02275228015738775,0.7371745273497948,0.049713965323630455,0.002275228015738775,0.6851853340104256,low-to-moderate correlation / partial independence
MMP12,PTPRR,0.39736509818459975,0.5441886518479988,0.949438202247191,0.9880239520958084,1.0,0.0,0.2371198459435162,0.02207993458626133,0.02621672664746668,0.024148330616864007,0.7343655385857498,0.047423969188703244,0.0024148330616864007,0.6845267363353601,low-to-moderate correlation / partial independence
MMP9,CTTN,0.5052459001107324,0.7441085239790581,0.4606741573033708,1.0,0.7536231884057971,0.7049180327868853,0.18547746603449813,0.0779806405713783,0.13151024790823873,0.10474544423980851,0.7298038446240134,0.03709549320689963,0.010474544423980853,0.6822338069931329,weak correlation / high independence
CST1,GRN,0.5436593060985359,0.8150381531247665,0.9157303370786517,1.0,0.9710144927536232,0.08196721311475409,0.24228358038256378,0.2613835538362081,0.022702682080163877,0.14204311795818597,0.7421780107367572,0.04845671607651276,0.014204311795818597,0.6795169828644257,low-to-moderate correlation / partial independence
MMP12,GRN,0.39736509818459975,0.8150381531247665,0.9606741573033708,0.9940119760479041,0.9710144927536232,0.08196721311475409,0.3686818526954498,0.02207993458626133,0.022702682080163877,0.022391308333212602,0.751916959804913,0.07373637053908996,0.0022391308333212603,0.6759414584325018,low-to-moderate correlation / partial independence
CCNB1,PLAC8,0.7228724824339547,0.6220726772459807,0.9719101123595506,1.0,1.0,0.0,0.3233678378043847,0.04176615865950621,0.023424625728514163,0.032595392194010184,0.7429775280898876,0.06467356756087694,0.0032595392194010187,0.6750444213096096,low-to-moderate correlation / partial independence
MMP9,GRN,0.5052459001107324,0.8150381531247665,0.9662921348314607,0.9880239520958084,0.9710144927536232,0.08196721311475409,0.3708998058374612,0.0779806405713783,0.022702682080163877,0.05034166132577109,0.7518244481989116,0.07417996116749224,0.005034166132577109,0.6726103208988422,low-to-moderate correlation / partial independence
MMP12,TPX2,0.39736509818459975,0.7229964697986911,0.8932584269662921,1.0,1.0,0.0,0.20869734982486246,0.02207993458626133,0.17221193540680635,0.09714593499653384,0.723314606741573,0.04173946996497249,0.009714593499653385,0.6718605432769471,low-to-moderate correlation / partial independence
CCNB1,CEACAM5,0.7228724824339547,0.3827813825580026,0.9382022471910112,1.0,1.0,0.0,0.28240855259277203,0.04176615865950621,0.09847649330690951,0.07012132598320786,0.7345505617977528,0.05648171051855441,0.007012132598320786,0.6710567186808776,low-to-moderate correlation / partial independence
MMP9,TOP2A,0.5052459001107324,0.7642964013003924,0.8932584269662921,0.9940119760479041,1.0,0.0,0.20667468859231147,0.0779806405713783,0.12468589671829405,0.10133326864483617,0.7218176007535491,0.0413349377184623,0.010133326864483618,0.6703493361706031,low-to-moderate correlation / partial independence
CCNB1,RCN1,0.7228724824339547,0.8497562945311693,0.9438202247191011,1.0,1.0,0.04918032786885246,0.3740205356375537,0.04176615865950621,0.041475064871972264,0.04162061176573924,0.7482501381469884,0.07480410712751075,0.004162061176573924,0.6692839698429037,low-to-moderate correlation / partial independence
CCNB1,PTPRR,0.7228724824339547,0.5441886518479988,0.9550561797752809,1.0,1.0,0.0,0.3337239692137476,0.04176615865950621,0.02621672664746668,0.03399144265348644,0.7387640449438202,0.06674479384274952,0.0033991442653486443,0.668620106835722,low-to-moderate correlation / partial independence
CCNB1,CST1,0.7228724824339547,0.5436593060985359,0.9101123595505618,1.0,1.0,0.0,0.2247244864359393,0.04176615865950621,0.2613835538362081,0.15157485624785716,0.7275280898876404,0.04494489728718787,0.015157485624785716,0.6674257069756668,low-to-moderate correlation / partial independence
PLAC8,TOP2A,0.6220726772459807,0.7642964013003924,0.8876404494382022,1.0,1.0,0.0,0.24202424338502238,0.023424625728514163,0.12468589671829405,0.07405526122340411,0.7219101123595506,0.04840484867700448,0.007405526122340411,0.6660997375602058,low-to-moderate correlation / partial independence
CCNB1,AGR2,0.7228724824339547,0.42747807269657895,0.9662921348314607,0.9820359281437125,1.0,0.0,0.2732444789628211,0.04176615865950621,0.2900457034734938,0.1659059310665,0.7370820157437933,0.054648895792564225,0.016590593106650002,0.665842526844579,low-to-moderate correlation / partial independence
LAMA3,MMP9,0.5507459804792868,0.5052459001107324,0.9719101123595506,0.9580838323353293,1.0,0.0,0.2158639168757595,0.40231310213542243,0.0779806405713783,0.24014687135340035,0.73249848617372,0.0431727833751519,0.024014687135340038,0.6653110156632281,low-to-moderate correlation / partial independence
