gene,K_EN,K_RF,K_XGB,K_mean,K_median,K_std,K_IQR,K_final,threshold_instability_score,threshold_method_EN,threshold_method_RF,threshold_method_XGB,fallback_used,fallback_reason,K_EN_orig,K_RF_orig,K_XGB_orig,K_mean_orig
CDH3,0.6589750915684525,0.6583351866940997,0.9795470682938374,0.7656191155187965,0.6589750915684525,0.1512701316705805,0.1606059407998689,0.7656191155187965,0.1512701316705805,linear_coefficient_crossing,youden_index_fallback,polynomial_shap_crossing,yes,RF: No RF SHAP zero-crossing found,2.0477113043478283,2.0360454545454534,7.8919307832376315,3.99189584737697
COL17A1,0.5507342072721645,0.030860617642098197,0.9947088022709274,0.5254345423950634,0.5507342072721645,0.39389582847519694,0.4819240923144145,0.5254345423950634,0.39389582847519694,linear_coefficient_crossing,polynomial_shap_crossing,polynomial_shap_crossing,no,None,0.8269933333333348,-9.361021390006037,9.52760786898359,0.3311932707702958
DPCR1,0.4249694598250433,0.4249694598250433,0.4249694598250433,0.4249694598250433,0.4249694598250433,0.0,0.0,0.4249694598250433,0.0,youden_index_fallback,youden_index_fallback,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; RF: No RF SHAP zero-crossing found; XGB: No XGBoost SHAP zero-crossing found,-1.7116181818181826,-1.7116181818181826,-1.7116181818181826,-1.7116181818181833
COLGALT1,0.8523413848219697,0.9444009881999672,0.8523413848219697,0.8830279192813023,0.8523413848219697,0.04339731321461733,0.04602980168899873,0.8830279192813023,0.04339731321461733,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,4.587247272727272,6.1590913527238795,4.587247272727272,5.11119529939281
LMNB1,0.7536663318841537,0.8187676156709661,0.7536663318841537,0.7753667598130912,0.7536663318841537,0.030689039486403287,0.032550641893406285,0.7753667598130912,0.030689039486403287,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,1.8632945454545455,2.885085235002083,1.8632945454545455,2.2038914419703914
UACA,0.8570501217569774,0.9485741509315679,0.8570501217569774,0.8875581314818409,0.8570501217569774,0.04314484111391227,0.04576201458729534,0.8875581314818409,0.04314484111391227,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,4.019458181818182,5.512938137486234,4.019458181818182,4.517284833707533
SPARC,0.7518529403166269,0.9361733329927779,0.7518529403166269,0.8132930712086771,0.7518529403166269,0.08688946638151579,0.09216019633807548,0.8132930712086771,0.08688946638151579,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,7.802890909090909,12.15897161328492,7.802890909090909,9.25491781048891
NT5C2,0.8682965726625589,0.9604559220544099,0.938488284178912,0.9224135929652936,0.938488284178912,0.03930337723650222,0.04607967469592544,0.9224135929652936,0.03930337723650222,youden_index_fallback,polynomial_shap_crossing,polynomial_shap_crossing,yes,EN: Zero coefficient in SAGA Elastic Net model,4.58606909090909,6.130576843302062,5.762419003382803,5.493021645864651
TXN,0.8559219416960783,0.8890142628298092,0.8559219416960783,0.8669527154073219,0.8559219416960783,0.015599869785909371,0.01654616056686542,0.8669527154073219,0.015599869785909371,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,6.582423636363636,7.222223954698966,6.582423636363636,6.795690409142081
PLS1,0.7594397546405329,0.7594397546405329,0.7594397546405329,0.759439754640533,0.7594397546405329,1.1102230246251565e-16,0.0,0.759439754640533,1.1102230246251565e-16,youden_index_fallback,youden_index_fallback,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; RF: No RF SHAP zero-crossing found; XGB: No XGBoost SHAP zero-crossing found,2.836,2.836,2.836,2.836000000000002
