gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
HNRNPCP2,3.305939325842697,-1.1501251497005989,4.456064475543296,8.55275550424078e-111,0.998183408463971,1.0,6.3421388632142924e-108
HNRNPA1P4,-0.24194101123595502,-7.9777706586826325,7.7358296474466774,2.8492997843154376e-81,0.9981665881719707,1.0,2.1876124595672695e-79
MMP12,2.329920786516854,-8.952801197604789,11.282721984121643,3.4228078621077693e-163,0.9979983852519679,1.0,5.012787684253381e-159
CD63,10.569742696629215,8.24211497005988,2.327627726569334,6.77501405545373e-32,0.9978470026239655,1.0,4.866197871291503e-31
LGALS3BP,8.768080898876406,4.59528502994012,4.172795868936285,4.0043705348394134e-74,0.997746080871964,1.0,2.0851558249015792e-72
HLA-A,10.144764606741573,5.792717964071857,4.352046642669716,5.466162379926961e-70,0.9976787997039629,1.0,2.2856049848572543e-68
ATP5L,8.323848876404492,6.003819161676646,2.3200297147278457,2.609208709932059e-37,0.9976115185359619,1.0,2.3920196468940523e-36
MDK,8.427776966292134,3.2916395209580838,5.13613744533405,7.812905251680205e-92,0.9973592141559577,1.0,1.1826558205392199e-89
MMP9,4.334939325842696,-3.420788023952096,7.7557273497947925,8.564712639557355e-119,0.9973255735719573,1.0,1.2864857208664343e-115
EEF1A1P9,0.7268859550561797,-2.78712874251497,3.5140146975711497,3.9734925393542275e-73,0.9973255735719572,0.9940119760479041,1.9446212735832077e-71
GAPDH,11.277774157303371,7.69265389221557,3.5851202650878014,5.84424825704224e-54,0.9971741909439548,1.0,1.1558470869202954e-52
NDUFC2,7.593092134831461,5.360346706586827,2.232745428244634,2.493360837215015e-37,0.9971741909439548,1.0,2.2879632080966916e-36
CORO2A,3.438461797752809,-2.9883904191616764,6.426852216914485,3.625345017859524e-140,0.9971405503599542,1.0,2.65470420614036e-136
RP11-641D5.1,8.160026966292136,5.675665269461078,2.4843616968310585,3.0966504081776707e-40,0.9970396286079526,0.9940119760479041,3.238794457444316e-39
ATOX1,7.0283084269662925,4.207017964071857,2.821290462894436,4.2856147498913565e-53,0.9969723474399516,1.0,8.098567666560825e-52
COX7B,6.907569662921348,4.3018622754491025,2.605707387472245,3.7180315457259137e-48,0.9969387068559511,1.0,5.587634837869928e-47
OCIAD2,7.6552915730337086,3.6883239520958084,3.9669676209379,7.573590451774987e-82,0.996938706855951,1.0,5.963286320637507e-80
BOLA2B,6.742883707865169,3.801183233532934,2.9417004743322352,3.028662121886678e-57,0.9969050662719504,1.0,6.979624538247185e-56
RPL13AP20,1.3892831460674158,-2.9447317365269465,4.334014882594362,2.477414896312417e-52,0.9968882459799502,1.0,4.516944974817233e-51
S100A6,12.087774719101121,5.676380239520959,6.411394479580163,6.880999020004715e-107,0.9968377851039494,1.0,3.199173044372192e-104
EPHX4,1.0449303370786518,-6.773073053892214,7.818003390970866,1.0574777827879879e-91,0.9968377851039494,1.0,1.5924962980334994e-89
MGST2,6.669992696629213,4.249350299401197,2.4206423972280158,1.7751506415298294e-44,0.9968377851039494,1.0,2.27449911923576e-43
COX7A2,8.136533146067416,5.816490419161677,2.320042726905739,2.524144800493531e-37,0.9967705039359482,0.9940119760479041,2.315485852767171e-36
GRN,8.483725842696629,4.951488622754491,3.5322372199421377,2.2274157652245705e-63,0.9967368633519478,1.0,6.842382954516023e-62
RPS2P55,1.9485314606741575,-0.9124748502994011,2.8610063109735586,9.304512667990891e-58,0.9967200430599475,1.0,2.1837646498540642e-56
BCAP31,7.757644382022473,5.701879041916167,2.055765340106306,6.891826791899711e-33,0.9967032227679472,1.0,5.18333682496183e-32
RNASET2,7.242399999999999,4.4034347305389225,2.8389652694610765,2.116279574003771e-53,0.9965686604319451,1.0,4.055406402509483e-52
TEX264,5.9363297752809,3.9622221556886226,1.974107619592277,1.6755550039942375e-35,0.9965686604319451,1.0,1.4161836342372878e-34
MRPL14,5.687457303370787,3.0130437125748504,2.674413590795937,3.629873598957451e-55,0.9965350198479447,1.0,7.607929348856045e-54
RP11-805J14.5,3.4784005617977534,-1.2726419161676648,4.751042477965418,5.221988271631118e-42,0.9964677386799434,1.0,5.937680414216275e-41
KIF4A,1.2469561797752808,-5.171707784431138,6.418663964206419,1.844063124095911e-102,0.996434098095943,1.0,6.137901242764917e-100
CCR6,0.38894101123595504,-8.535143113772452,8.924084125008408,7.250819649776019e-123,0.9963836372199422,1.0,1.6990410636141158e-119
MISP,5.490058426966292,-2.2770347305389222,7.767093157505214,2.0189748119071445e-148,0.9963668169279419,1.0,2.3654712691266488e-144
