gene_A,gene_B,K_A,K_B,disc_sens,disc_spec,val_sens,val_spec,ext_sens,ext_spec,tumor_correlation,pair_score
MISP,CEACAM5,0.6499979430526112,0.40677820318024827,0.9269662921348315,1.0,0.14492753623188406,1.0,0.17777777777777778,1.0,0.5289509339300819,0.43015672739734145
GRN,FBXL2,0.8306098746530998,0.7510725925338305,0.8707865168539326,0.9940119760479041,0.028985507246376812,1.0,0.0,1.0,0.0959546686284686,0.4293481142165264
GRN,NT5C2,0.8306098746530998,0.8527128545088938,0.8651685393258427,0.9940119760479041,0.014492753623188406,1.0,0.0,1.0,0.04818778479608059,0.42887623129232183
CST1,ANKLE2,0.3606846833167901,0.8737717772169268,0.8595505617977528,0.9880239520958084,0.028985507246376812,1.0,0.022222222222222223,1.0,0.07105449202678024,0.42739684848484016
MMP12,NT5C2,0.37763499838454734,0.8527128545088938,0.8539325842696629,0.9880239520958084,0.08695652173913043,0.9836065573770492,0.06666666666666667,1.0,0.1943026032554101,0.4249108962083126
MMP12,LMNB1,0.37763499838454734,0.7437815024738708,0.949438202247191,1.0,0.028985507246376812,0.9508196721311475,0.24444444444444444,0.9555555555555556,0.2657546736745677,0.4240311203049822
CEACAM5,FBXL2,0.40677820318024827,0.7510725925338305,0.8146067415730337,1.0,0.08695652173913043,1.0,0.17777777777777778,0.9777777777777777,-0.13423035860002638,0.4239355599360768
COLGALT1,TSPAN1,0.8541952185168267,0.69298776371519,0.8932584269662921,0.9940119760479041,0.08695652173913043,1.0,0.06666666666666667,1.0,0.32656632924743045,0.4233268208554626
RCN1,LMNB1,0.8391026610009126,0.7437815024738708,0.9325842696629213,1.0,0.028985507246376812,0.9836065573770492,0.08888888888888889,1.0,0.2703414949693649,0.4227757297193445
MMP12,COLGALT1,0.37763499838454734,0.8541952185168267,0.9044943820224719,0.9880239520958084,0.10144927536231885,1.0,0.08888888888888889,1.0,0.389338896927829,0.42209224194939016
CEACAM5,LMNB1,0.40677820318024827,0.7437815024738708,0.9269662921348315,1.0,0.043478260869565216,0.9836065573770492,0.24444444444444444,1.0,0.299421921654388,0.42136066039671255
RCN1,TXN,0.8391026610009126,0.8228848534305958,0.9550561797752809,0.9880239520958084,0.0,1.0,0.08888888888888889,1.0,0.27412950779208617,0.41984273868917754
MMP12,ANKLE2,0.37763499838454734,0.8737717772169268,0.8595505617977528,0.9880239520958084,0.028985507246376812,1.0,0.022222222222222223,1.0,0.11859460454571255,0.4178888259810537
MISP,COLGALT1,0.6499979430526112,0.8541952185168267,0.9101123595505618,0.9940119760479041,0.014492753623188406,1.0,0.0,1.0,0.21542288345490293,0.41783384050491584
MISP,TSPAN1,0.6499979430526112,0.69298776371519,0.9438202247191011,0.9940119760479041,0.13043478260869565,1.0,0.2,1.0,0.5978327074879414,0.41595279598767565
RCN1,NT5C2,0.8391026610009126,0.8527128545088938,0.8539325842696629,0.9880239520958084,0.028985507246376812,1.0,0.022222222222222223,1.0,0.11502169849367153,0.41581123871941716
RCN1,COLGALT1,0.8391026610009126,0.8541952185168267,0.9101123595505618,0.9880239520958084,0.07246376811594203,1.0,0.044444444444444446,1.0,0.3670642857750806,0.41493336198462355
CST1,NT5C2,0.3606846833167901,0.8527128545088938,0.8595505617977528,0.9820359281437125,0.10144927536231885,0.9836065573770492,0.06666666666666667,1.0,0.2886608686956251,0.41451335338596756
MMP9,GRN,0.5242941773154414,0.8306098746530998,0.9550561797752809,1.0,0.028985507246376812,0.9836065573770492,0.022222222222222223,1.0,0.3708998058374612,0.4138079246096413
RCN1,CLDN12,0.8391026610009126,0.798690661316936,0.8764044943820225,0.9940119760479041,0.043478260869565216,1.0,0.06666666666666667,1.0,0.2239952932469967,0.41376524898350286
MMP9,FBXL2,0.5242941773154414,0.7510725925338305,0.8595505617977528,0.9880239520958084,0.028985507246376812,1.0,0.08888888888888889,1.0,0.1467486594607118,0.41225801499805387
ANKLE2,TXN,0.8737717772169268,0.8228848534305958,0.8764044943820225,0.9520958083832335,0.014492753623188406,1.0,0.0,1.0,0.11587389233425749,0.41160441741593107
LMNB1,FBXL2,0.7437815024738708,0.7510725925338305,0.8539325842696629,0.9940119760479041,0.0,1.0,0.06666666666666667,1.0,0.07275505069080096,0.4111369398046508
MISP,ANKLE2,0.6499979430526112,0.8737717772169268,0.8707865168539326,0.9940119760479041,0.014492753623188406,1.0,0.022222222222222223,1.0,0.156656846755209,0.40998299751854095
FBXL2,TXN,0.7510725925338305,0.8228848534305958,0.8707865168539326,0.9580838323353293,0.0,1.0,0.08888888888888889,1.0,-0.08293870881029936,0.40968050825476043
CST1,SPARC,0.3606846833167901,0.8355173953327697,0.7921348314606742,1.0,0.14492753623188406,0.9508196721311475,0.2222222222222222,0.9333333333333333,0.238025678562748,0.4094047895145587
LMNB1,TSPAN1,0.7437815024738708,0.69298776371519,0.9325842696629213,1.0,0.043478260869565216,0.9836065573770492,0.2222222222222222,1.0,0.3892304345087559,0.4061849220918179
MISP,CTTN,0.6499979430526112,0.538647950435518,0.848314606741573,0.9940119760479041,0.15942028985507245,1.0,0.17777777777777778,1.0,0.502080743375764,0.40194271444862406
MMP9,NT5C2,0.5242941773154414,0.8527128545088938,0.8539325842696629,0.9820359281437125,0.0,1.0,0.0,1.0,0.11638281392990034,0.39985470277279
SPARC,TXN,0.8355173953327697,0.8228848534305958,0.8033707865168539,1.0,0.0,1.0,0.1111111111111111,1.0,0.012664793119903997,0.39915243463444616
GRN,ANKLE2,0.8306098746530998,0.8737717772169268,0.8764044943820225,0.9940119760479041,0.0,0.9836065573770492,0.0,1.0,0.17129947325706266,0.3990385480652907
CEACAM5,ANKLE2,0.40677820318024827,0.8737717772169268,0.8258426966292135,0.9940119760479041,0.028985507246376812,1.0,0.022222222222222223,1.0,0.13852055295873814,0.39843030840611404
LMNB1,TXN,0.7437815024738708,0.8228848534305958,0.9606741573033708,0.9880239520958084,0.014492753623188406,0.9836065573770492,0.15555555555555556,0.9555555555555556,0.4115696342061777,0.39835328151156557
COLGALT1,CLDN12,0.8541952185168267,0.798690661316936,0.8539325842696629,0.9700598802395209,0.043478260869565216,1.0,0.022222222222222223,1.0,0.22847490121614483,0.39629329528192975
SPARC,CTTN,0.8355173953327697,0.538647950435518,0.7303370786516854,1.0,0.17391304347826086,0.9016393442622951,0.26666666666666666,0.9111111111111111,0.1688712658083749,0.3961151491623978
