gene,log2fc,fdr,auc,log2fc_val,fdr_val,auc_val,direction_consistent,protein_coding_status,stability_score
ARNTL2,4.286391425015138,6.89928532850333e-93,0.9888145058198211,1.0824010525065333,4.689527436974079e-10,0.8277500593965313,True,Protein Coding,0.9082822821822347
CTNNB1,2.4802590392249213,1.1975267695413427e-42,0.9871492969117943,0.6492924661439758,4.046574467217891e-08,0.8291755761463531,True,Protein Coding,0.9081623997796044
RALB,2.835905601157236,2.2395658510703e-58,0.9895545986678329,0.588442045616536,1.2771093835685211e-08,0.8263245426467095,True,Protein Coding,0.9079395590618898
FRMD5,4.893648973962188,1.043674979049696e-99,0.9896891610038351,0.5289905179377543,1.8385454006239682e-09,0.8260869565217392,True,Protein Coding,0.9078880570935937
OCIAD2,3.9669676209379,5.963286320637507e-80,0.996938706855951,1.0010752459016405,2.482679800489164e-09,0.8184842005226894,True,Protein Coding,0.9077114514357634
KRT17,8.175415151719035,1.3087619019139649e-97,0.9718091906075489,1.1775731488081105,3.326773149137595e-10,0.843430743644571,True,Protein Coding,0.9076199668241154
ACTN4,2.722820006055306,2.700252873352486e-44,0.9808248671196932,0.59848984556902,1.5471548342672614e-08,0.8344024708956997,True,Protein Coding,0.9076136549655077
SYTL2,3.6551183744869813,1.0736835934426303e-76,0.9680750857834893,1.0646255238774058,7.733110257207364e-11,0.8469945355191256,True,Protein Coding,0.9075348105811267
EDIL3,5.105425624032834,8.586348328560614e-107,0.9868969925317904,1.610105808980757,3.139714720104871e-10,0.8279876455215015,True,Protein Coding,0.9074423187417349
SQLE,3.2654175435645567,7.795809786592074e-65,0.9859045953037745,0.9782975267284382,1.3643249799768817e-09,0.8287004038964124,True,Protein Coding,0.907302498362238
YWHAZ,3.160261343604927,5.564014944246559e-54,0.989436856623831,0.5303987954383445,9.563127619373952e-09,0.8244238536469469,True,Protein Coding,0.9069303464622982
BCL2L1,2.7149177184955926,2.52540562891213e-48,0.9883267173518132,0.7027311332858153,1.530471958696275e-09,0.8253741981468283,True,Protein Coding,0.9068504563614116
HK2,4.496219958958488,5.617383150327112e-89,0.9679741640314876,1.1644265027322396,6.155991614736354e-11,0.8453314326443335,True,Protein Coding,0.9066527982820971
