gene,cell_type,mean_expression,percent_expressing_fraction,n_cells,is_target_compartment,is_off_target_compartment,source_h5ad,annotation_version
LAMB3,B cells,4.131973743438721,0.8571428571428571,21,0,1,GSE154778,v4_unbiased_metadata
SPDL1,B cells,0.8696361780166626,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
GREB1L,B cells,0.41826602816581726,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
PARP14,B cells,2.9700734615325928,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
APBB2,B cells,1.5915756225585938,0.3333333333333333,21,0,1,GSE154778,v4_unbiased_metadata
IL2RA,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
RBMS1,B cells,2.988018274307251,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
CDC6,B cells,0.23210503160953522,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
MMP3,B cells,1.1664730310440063,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
LINC01559,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
SRPX2,B cells,0.21976764500141144,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
CEACAM1,B cells,3.0160293579101562,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
VSNL1,B cells,0.23210503160953522,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
IFITM10,B cells,0.6523551344871521,0.14285714285714285,21,0,1,GSE154778,v4_unbiased_metadata
STIL,B cells,0.44651857018470764,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
CTSK,B cells,0.8910179138183594,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
OXR1,B cells,2.548527956008911,0.5238095238095238,21,0,1,GSE154778,v4_unbiased_metadata
CEP55,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
ST6GALNAC1,B cells,1.8473021984100342,0.38095238095238093,21,0,1,GSE154778,v4_unbiased_metadata
TSPAN8,B cells,2.5411453247070312,0.5238095238095238,21,0,1,GSE154778,v4_unbiased_metadata
CSGALNACT2,B cells,0.23210503160953522,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
CLIP4,B cells,1.135136365890503,0.23809523809523808,21,0,1,GSE154778,v4_unbiased_metadata
