gene_A,gene_B,gene_A_auc,gene_B_auc,gene_A_log2fc,gene_B_log2fc,correlation,abs_correlation,tumor_AND_activation,normal_AND_activation,AND_sensitivity,AND_specificity,pair_score
ATOX1,CKLF,0.9969723474399516,0.9949875529839196,2.821290462894436,3.8934817230707113,0.8640043606930788,0.8640043606930788,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.12631754152217592
GBA,CFL1,0.9949202718159188,0.9953575994079256,2.296132345421516,3.58724077238781,0.8647144679628409,0.8647144679628409,0.9382022471910112,0.0,0.9382022471910112,1.0,0.1263081986478103
TEX264,CCDC96,0.9965686604319453,0.9951725761959228,1.974107619592277,2.658767960707798,0.8664224782412551,0.8664224782412551,0.949438202247191,0.0,0.949438202247191,1.0,0.12629989905930566
ATOX1,RGS10,0.9969723474399516,0.995189396487923,2.821290462894436,4.373259220884075,0.8615559910168106,0.8615559910168106,0.9269662921348315,0.011976047904191617,0.9269662921348315,0.9880239520958084,0.12629907857071807
COMMD1,NDUFC2,0.9963331763439413,0.9971741909439548,1.9911958453878764,2.232745428244634,0.8649417200586753,0.8649417200586753,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.12629610587389473
TP53TG1,COX6B1,0.9946006862679136,0.9954921617439276,2.8377416134024083,2.311949498755298,0.8663204245161726,0.8663204245161726,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.12627836115586538
ATOX1,S100A6,0.9969723474399516,0.9968377851039494,2.821290462894436,6.411394479580163,0.8626107084964697,0.8626107084964697,0.9269662921348315,0.005988023952095809,0.9269662921348315,0.9940119760479041,0.1262008400652757
LGALS3BP,UBE2S,0.997746080871964,0.9958958487519344,4.172795868936285,3.778860169548543,0.8667040335360687,0.8667040335360687,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.126140546193515
SMYD3,NDUFC2,0.9947857094799164,0.9971741909439548,3.0911119121307946,2.232745428244634,0.8658840793682472,0.8658840793682472,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.12606346794610224
SMYD3,CFL1,0.9947857094799164,0.9953575994079256,3.0911119121307946,3.58724077238781,0.864152448413246,0.864152448413246,0.9438202247191011,0.011976047904191617,0.9438202247191011,0.9880239520958084,0.1260558261472703
