gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category,target_coexpr_est,max_off_target_coexpr_est,max_off_target_compartment,scrna_score
CEP55,SCIN,0.6504842260639693,0.6559842214884372,0.8876404494382022,1.0,1.0,0.0,0.1182592810898842,0.0092228620594016,0.0083570562898425,0.008789959174622,0.7219101123595506,0.0236518562179768,0.0008789959174622,-1.9143426843465372,weak correlation / high independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEP55,ERN2,0.6504842260639693,0.7685306255881214,0.797752808988764,1.0,0.8985507246376812,0.3278688524590163,0.2719111918324139,0.0092228620594016,0.1489557406599088,0.0790893013596552,0.7560430965213654,0.0543822383664827,0.0079089301359655,-1.917970016551732,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
DPCR1,CEP55,0.4249694598250433,0.6504842260639693,0.8707865168539326,1.0,1.0,0.0,0.1391694307456104,0.0,0.0092228620594016,0.0046114310297008,0.7176966292134832,0.027833886149122,0.00046114310297,-1.9223203446092576,weak correlation / high independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
PLEKHA2,DGKA,0.2434402352438865,0.8656849345243938,0.601123595505618,0.9880239520958084,0.9565217391304348,0.2950819672131147,0.251593883109079,0.0,0.0433392405188523,0.0216696202594261,0.710187813486244,0.0503187766218158,0.0021669620259426,-1.9258508556476563,low-to-moderate correlation / partial independence,0.1284507042253521,0.1290322580645161,T cells,-0.5167105860972284
CEP55,CKMT1A,0.6504842260639693,0.706981588200439,0.9101123595505618,1.0,1.0,0.0,0.226801557150884,0.0092228620594016,0.047185313902442,0.0282040879809218,0.7275280898876404,0.0453603114301768,0.0028204087980921,-1.9323745749112773,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEP55,SLC7A7,0.6504842260639693,0.7794310619064436,0.9213483146067416,0.994011976047904,1.0,0.0,0.2486278131316248,0.0092228620594016,1.1102230246251563e-16,0.0046114310297008,0.7288400726636615,0.0497255626263249,0.00046114310297,-1.9330685776362824,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEP55,MYO1D,0.6504842260639693,0.3726198952998878,0.898876404494382,1.0,1.0,0.0,0.2513130057953729,0.0092228620594016,0.0,0.0046114310297008,0.7247191011235955,0.0502626011590745,0.00046114310297,-1.937726587709098,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
IL1R2,CEP55,0.6056144394440304,0.6504842260639693,0.8932584269662921,0.994011976047904,1.0,0.0,0.2390103854426084,0.0,0.0092228620594016,0.0046114310297008,0.7218176007535491,0.0478020770885216,0.00046114310297,-1.9381675640085916,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
MMP3,CEP55,0.4633402779609167,0.6504842260639693,0.8595505617977528,1.0,1.0,0.0,0.2056637759726356,5.551115123125783e-17,0.0092228620594016,0.0046114310297008,0.7148876404494382,0.0411327551945271,0.00046114310297,-1.938428202418708,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEP55,KIF13B,0.6504842260639693,0.8188100215145232,0.8820224719101124,1.0,1.0,0.0,0.2605684301476585,0.0092228620594016,1.1102230246251563e-16,0.0046114310297008,0.7205056179775281,0.0521136860295317,0.00046114310297,-1.9437911557256229,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEP55,DGKA,0.6504842260639693,0.8656849345243938,0.601123595505618,1.0,0.9565217391304348,0.2950819672131147,0.223921121157818,0.0092228620594016,0.0433392405188523,0.0262810512891269,0.7131818254622919,0.0447842242315636,0.0026281051289126,-1.9459524484688333,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEP55,ST6GALNAC1,0.6504842260639693,0.5637161855720455,0.9213483146067416,1.0,1.0,0.0,0.3327630726419647,0.0092228620594016,0.0,0.0046114310297008,0.7303370786516854,0.0665526145283929,0.00046114310297,-1.9483986235503263,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEACAM1,CEP55,0.6675394356171925,0.6504842260639693,0.9269662921348316,1.0,1.0,0.0,0.3373327722986325,0.0160549164659469,0.0092228620594016,0.0126388892626742,0.7317415730337079,0.0674665544597265,0.0012638889262674,-1.948710814922935,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
TMEM45B,CEP55,0.6794532653034732,0.6504842260639693,0.9101123595505618,1.0,1.0,0.0,0.3246624195193629,0.0041461431036729,0.0092228620594016,0.0066845025815373,0.7275280898876404,0.0649324839038725,0.0006684502581537,-1.9497947888450349,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CEP55,KLK7,0.6504842260639693,0.3760186196818953,0.898876404494382,1.0,1.0,0.0,0.3233759387641706,0.0092228620594016,0.0376421994110614,0.0234325307352315,0.7247191011235955,0.0646751877528341,0.0023432530735231,-1.9540212842734104,low-to-moderate correlation / partial independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
